S 8591 8747
V 1348567806 [-3903.281700003892 4068.5940000005066]
V 427163724 [3604.447499997914 2027.159699998796]
V 427163727 [2641.2005999982357 2304.9372000005096]
V 427163726 [3568.5833999998868 2026.071899998933]
V 982712419 [6894.265499997884 3558.0605999995023]
V 982712418 [6597.185100000352 3197.976600000635]
V 982712417 [4195.444800000638 5910.394799999893]
V 982712423 [4690.105199996382 3533.407499998808]
V 982712422 [7729.085399996489 3919.3322999998927]
V 982712421 [6666.582299999893 3223.562099998817]
V 982712427 [6582.777299996465 3263.355599999428]
V 982712426 [6724.968299996108 3155.3414999991655]
V 982712431 [7920.016499996185 3896.7437999993563]
V 982712429 [6723.469799999148 3150.0023999996483]
V 982712428 [7311.703199997544 3941.487899998203]
V 982712434 [6795.719699997455 3272.0580000001937]
V 1104927516 [10596.481799993664 4821.839999999851]
V 982712432 [6550.5761999972165 3272.4021000005305]
V 982712433 [7795.563299998641 3974.343899998814]
V 982712438 [4049.7461999990046 3452.999099999666]
V 982712442 [5386.041899997741 3307.6001999992877]
V 1348567813 [-3070.3487999998033 3460.2917999997735]
V 982712440 [5322.6386999972165 3526.636499999091]
V 982712444 [4250.3897999972105 5871.6225000005215]
V 982712445 [6738.343800000846 3177.952199999243]
V 1803035754 [6640.019999999553 4535.126999998465]
V 1346081764 [9666.124199997634 -372.8379000015557]
V 1772782767 [6735.990599997342 5326.601399999112]
V 982712388 [6748.244999997318 3247.4604000002146]
V 982712391 [3992.9030999951065 5772.66599999927]
V 1346081762 [9669.642899997532 -372.9377999994904]
V 1346081773 [9667.24529999867 -365.32320000045]
V 1843085253 [874.0361999943852 5399.783700000495]
V 982712393 [6630.518399998546 3199.541700001806]
V 1843085252 [4192.980599999428 3795.101099997759]
V 1346081775 [9666.668099999428 -363.24750000052154]
V 1843085255 [3879.782999999821 3942.719999998808]
V 982712395 [6704.533199995756 3226.6257000006735]
V 1843085254 [921.5774999968708 5401.204499999061]
V 982712394 [4119.665099997073 3428.912100000307]
V 1348537011 [-4804.113300003111 2736.5606999993324]
V 1843085249 [4230.443100001663 3795.0677999984473]
V 982712396 [7169.600999996066 3649.5689999982715]
V 1348567858 [-1871.4489000029862 1350.3815999999642]
V 1843085251 [3930.9872999973595 3913.2051000017673]
V 1843085250 [913.7852999977767 5409.118799999356]
V 982712406 [7260.376800000668 4020.9528000000864]
V 1348567851 [409.49010000005364 3369.504899999127]
V 982712408 [6595.309199996293 3207.7112999986857]
V 982712409 [6600.8702999949455 3175.3659000005573]
V 982712410 [7177.7372999973595 3631.8200999982655]
V 982712411 [4298.230799999088 3440.511599998921]
V 982712413 [6605.887499999255 3156.7067999988794]
V 1348567843 [-4326.635699998587 2111.486400000751]
V 1104927538 [9033.546299997717 3447.8264999985695]
V 982712414 [7357.3352999947965 3988.019099999219]
V 982712359 [7141.151699997485 3646.0946999993175]
V 982712357 [6562.053599998355 3252.9326999988407]
V 982712355 [6720.65039999783 3169.9380000010133]
V 1104927566 [8681.043599996716 -175.69080000184476]
V 1348537054 [-1887.233100000769 1257.907499998808]
V 982712352 [6842.339699994773 3214.127100000158]
V 1348537042 [-627.2166000008583 3350.745899999514]
V 1348567894 [-3480.849000003189 3988.7072999998927]
V 982712361 [4472.356499999762 5037.568499999121]
V 982712373 [6206.4650999978185 5066.861400000751]
V 982712371 [7491.745200000703 4320.5417999997735]
V 1346081684 [9714.020699996501 -364.346400000155]
V 1348616136 [-3363.5442000068724 4023.328199999407]
V 982712380 [6576.9941999949515 3278.2740000002086]
V 982712381 [7738.031999997795 4049.0358000006527]
V 982712379 [3582.8246999941766 3531.609300000593]
V 982712376 [6619.629299998283 3171.4919999986887]
V 1348616178 [-1810.3989000022411 4246.127400001511]
V 982712326 [6549.7436999976635 3263.877299999818]
V 982712333 [6628.131899997592 3155.1527999993414]
V 982712330 [5470.590599998832 5633.316600000486]
V 1348567914 [-1816.7814000025392 4232.552099997178]
V 982712336 [4205.701200000942 5918.597700001672]
V 982712337 [6663.740699999034 3216.9243000000715]
V 982712338 [7689.402899995446 3899.0748000014573]
V 982712339 [7337.599499996752 3994.3127999994904]
V 982712350 [5810.028599999845 3234.6732000000775]
V 982712351 [6794.38769999519 3286.7099999990314]
V 1753806045 [5907.308999996632 265.1234999988228]
V 1753806044 [5951.131799995899 182.77259999886155]
V 1753806043 [5927.91059999913 229.5812999997288]
V 1753806042 [5962.520399995148 156.5654999986291]
V 1753806041 [5886.818399999291 290.1317999996245]
V 1803035851 [6621.482999999076 4249.6349999997765]
V 1348615954 [-1861.8585000000894 1357.4523000009358]
V 1348536859 [120.95669999718666 4526.735400000587]
V 1104927643 [8928.751200001687 4457.748900000006]
V 1104927641 [8700.091200001538 8685.816600000486]
V 982712520 [6610.41629999876 3171.292199999094]
V 982712521 [6559.611600000411 3280.3164000008255]
V 982712522 [5006.366399995983 3514.504200000316]
V 982712523 [6622.481999993324 3204.7142999991775]
V 982712524 [7202.4236999973655 3633.973500000313]
V 982712525 [6722.293200001121 3244.6521000005305]
V 982712526 [6630.429599996656 3177.3860999997705]
V 982712527 [6568.080899998546 3252.544199997559]
V 982712513 [4239.48959999904 5864.906999999657]
V 1348567998 [-4754.374200001359 4136.903400000185]
V 982712515 [6932.9156999997795 3558.704399999231]
V 982712516 [7368.890399996191 4009.7417999990284]
V 1803070829 [5910.083999995142 6566.981999998912]
V 982712517 [6639.020999997854 3161.1024000011384]
V 982712518 [6576.405899994075 3255.2969999983907]
V 982712519 [7667.713499996811 3989.6507999990135]
V 1348536865 [-351.68130000308156 2839.8572999984026]
V 982712492 [4335.471299998462 3445.2512999996543]
V 982712485 [3583.8125999979675 3506.1015000008047]
V 1348568029 [-4628.233800001442 5242.763100000098]
V 982712480 [6595.930799998343 3180.993599999696]
V 982712511 [6213.913199998438 3227.6135999988765]
V 982712510 [7585.939799997956 4225.792200000957]
V 982712509 [7207.984799999744 3757.66079999879]
V 982712508 [6746.824199996889 3165.7310999985784]
V 982712506 [7738.886699996889 4035.92669999972]
V 982712505 [6642.506400000304 3166.6634999997914]
V 982712502 [7214.167499996722 3639.4346999991685]
V 982712501 [6611.814899999648 3205.935300000012]
V 982712498 [6602.646299999207 3211.385399999097]
V 1104927708 [9662.339099995792 4645.083599999547]
V 982712461 [7807.073999997228 3974.7101999986917]
V 1803035812 [6402.813000001013 4673.322000000626]
V 982712457 [6580.757099997252 3274.6442999988794]
V 982712452 [4035.826799996197 5729.553600000218]
V 1772853096 [6966.149100001901 5143.406999999657]
V 982712454 [6635.069399997592 3188.452799998224]
V 982712455 [7198.6052999943495 3643.3751999996603]
V 982712450 [7259.466600000858 4014.7811999991536]
V 1104927728 [6175.385099999607 8995.46219999902]
V 982712473 [3035.949899997562 3485.9328000005335]
V 1348568038 [-1853.1006000041962 1930.3344000000507]
V 1104927736 [8538.131099998951 882.7386000007391]
V 1104927738 [9233.623799998313 3317.523600000888]
V 982712464 [6553.9394999966025 3257.0618999991566]
V 1348536941 [-3882.180600002408 3824.804699998349]
V 1348536744 [-4145.42820000276 3895.5449999999255]
V 281397921 [3944.817899994552 5019.35339999944]
V 281397922 [3925.270799998194 5036.591699998826]
V 281397924 [3926.6471999958158 5066.506200000644]
V 1346081015 [9758.420699998736 -534.9756000004709]
V 281397925 [3947.881499994546 5082.4124999996275]
V 1348536750 [-2818.1568000018597 1675.433999998495]
V 950663406 [5388.228599995375 3510.375]
V 1348567075 [-4681.169700000435 5032.629000000656]
V 281397928 [3978.4397999979556 5081.602199999616]
V 1346081016 [9755.745599996299 -533.8322999998927]
V 281397930 [3994.157399997115 5029.831800000742]
V 281397932 [3897.9203999973834 5133.028500000015]
